[2026-02-15 16:05:51,994][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:52,426][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:52,540][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:52,908][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:53,083][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:53,140][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:53,335][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:53,395][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:53,834][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:53,835][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-02-15 16:05:54,702][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:55,153][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:55,318][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:55,498][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:55,698][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:55,874][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:56,048][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:56,223][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:56,282][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:56,473][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:56,653][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:56,708][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:56,891][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:56,950][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:57,121][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:57,177][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:57,355][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:57,530][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-02-15 16:05:57,981][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:58,038][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/config.json "HTTP/1.1 200 OK"
[2026-02-15 16:05:58,299][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:59,025][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft "HTTP/1.1 200 OK"
[2026-02-15 16:05:59,225][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/commits/main "HTTP/1.1 200 OK"
[2026-02-15 16:05:59,424][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/discussions?p=0 "HTTP/1.1 200 OK"
[2026-02-15 16:05:59,477][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/librispeech_asr/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:59,624][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/commits/refs%2Fpr%2F4 "HTTP/1.1 200 OK"
[2026-02-15 16:05:59,749][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/openslr/librispeech_asr/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:59,765][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/openslr/librispeech_asr/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/README.md "HTTP/1.1 200 OK"
[2026-02-15 16:05:59,794][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/refs%2Fpr%2F4/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:05:59,897][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/librispeech_asr.py "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:05:59,972][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/refs%2Fpr%2F4/model.safetensors "HTTP/1.1 302 Found"
[2026-02-15 16:06:00,058][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/openslr/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/librispeech_asr.py "HTTP/1.1 404 Not Found"
[2026-02-15 16:06:00,493][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/librispeech_asr/librispeech_asr.py "HTTP/1.1 404 Not Found"
[2026-02-15 16:06:00,696][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/librispeech_asr/revision/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1 "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:06:00,888][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/openslr/librispeech_asr/revision/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1 "HTTP/1.1 200 OK"
[2026-02-15 16:06:01,079][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/librispeech_asr/resolve/71cacbfb7e2354c4226d01e70d77d5fca3d04ba1/.huggingface.yaml "HTTP/1.1 307 Temporary Redirect"
