[2026-02-15 11:47:54,971][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/wav2vec2-base/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-15 11:47:55,127][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 11:47:55,275][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
[2026-02-15 11:47:55,276][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-02-15 11:47:55,423][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
[2026-02-15 11:47:55,552][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 11:47:55,681][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 11:47:55,806][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 11:47:55,855][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 11:47:55,984][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 11:47:55,998][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/config.json "HTTP/1.1 200 OK"
[2026-02-15 11:47:56,134][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 11:47:56,261][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 11:47:56,275][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 11:47:56,408][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 11:47:56,418][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/config.json "HTTP/1.1 200 OK"
[2026-02-15 11:47:56,552][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
